UNIT,Buck_2007,Antlerless_2007,Buck_2008,Antlerless_2008,Buck_2009,Antlerless_2009,Buck_2010,Antlerless_2010,Buck_2011,Antlerless_2011,Buck_2012,Antlerless_2012,Buck_2013,Antlerless_2013,Buck_2014,Antlerless_2014,Buck_2015,Antlerless_2015,Buck_2016,Antlerless_2016,Buck_2017,Antlerless_2017,Buck_2018,Antlerless_2018,Buck_2019,Antlerless_2019,Buck_2020,Antlerless_2020,Buck_2021,Antlerless_2021,Buck_Total,Antlerless_Total,BuckPercentTotal,AntlerlessPercentTotal
4L,214,92,280,82,310,93,288,99,409,114,400,151,322,113,353,125,429,126,439,104,398,157,479,164,411,129,467,267,523,162,5722,1978,0.15,0.14
4U,259,73,258,135,220,71,250,115,356,88,364,87,326,153,316,109,338,93,384,98,322,134,427,143,313,117,395,224,345,158,4873,1798,0.14,0.13
5C,547,131,476,102,424,130,395,115,433,146,486,177,581,160,461,197,488,194,480,103,528,88,691,156,808,195,703,236,794,161,8295,2291,0.17,0.16
5F,690,247,803,193,552,193,522,206,602,236,633,234,679,266,546,168,548,268,575,114,600,118,730,160,651,116,607,163,647,110,9385,2792,0.21,0.2
5G,1055,539,1115,433,761,396,805,320,840,399,1017,418,1023,460,867,337,983,480,1.02,421,1.16,316,1.24,482,1355,372,1257,510,1149,338,12230.42,6221,0.47,0.44
5R,581,673,586,785,633,642,600,759,842,918,945,1615,797,968,701,1013,719,912,698,916,686,716,555,806,706,670,813,1040,873,755,10735,13188,0.99,0.93
5S,0,0,0,0,1569,1311,1494,1490,1730,1230,1642,1593,1558,1531,1295,1563,1.2,1.18,1.29,1.2,1.34,1.09,1.25,1.19,1113,875,1324,1092,1254,1010,12984.08,11699.66,0.88,0.83
5T,0,0,0,0,419,273,421,187,498,250,483,282,364,214,317,228,396,131,432,109,406,122,418,157,325,128,418,236,420,172,5317,2489,0.19,0.18
6A,2445,2050,2266,1942,2142,1783,2050,1575,1838,1393,2125,907,1921,1032,1910,981,1.7,494,1.95,533,2.56,557,2.42,626,3261,664,3256,905,3145,1190,26367.63,16632,1.25,1.18
6C,1827,1319,1676,1513,1964,1853,1792,1662,1720,1383,1875,1451,1816,1402,1615,1417,1.43,981,1.61,883,1.83,829,1.92,1.27,2189,1316,1873,1855,2039,977,20392.79,18842.27,1.42,1.33
6F,1224,305,1321,252,986,285,947,331,780,277,972,214,920,257,636,278,577,231,608,89,888,93,802,91,952,87,862,81,845,131,13320,3002,0.23,0.21
6G,2829,3552,2899,3989,2806,3645,2646,4053,2463,3394,3189,3600,2995,4285,2771,4265,2.39,2.78,2.52,2.97,2.88,2.7,3.09,3.34,3353,3123,3370,4543,3128,3213,32459.88,41673.79,3.14,2.95
6H,244,220,194,255,171,175,196,276,151,152,210,216,246,189,166,213,137,102,205,155,221,145,261,191,181,117,167,200,178,126,2928,2732,0.21,0.19
6J,1490,598,1783,536,898,370,873,319,920,358,1150,398,1175,415,861,326,727,303,901,106,965,69,972,93,1005,94,907,144,846,182,15473,4311,0.32,0.3
6N,827,162,741,230,606,196,645,254,787,198,1047,193,986,261,616,238,500,208,764,218,739,161,558,224,670,153,810,187,778,127,11074,3010,0.23,0.21
6P,329,241,284,238,265,212,341,297,345,281,488,433,425,490,431,596,381,419,469,488,405,411,483,609,533,509,495,707,510,518,6184,6449,0.49,0.46
6R,769,839,730,814,999,936,1084,1028,1019,852,1025,904,1001,1001,1100,1158,1.03,893,1.15,1.2,1.03,911,1.18,1.05,1126,843,1069,1192,1037,821,10963.39,12194.25,0.92,0.86
7H,1187,1788,1161,1923,1374,2030,1355,2468,1330,2578,1588,2405,1271,2091,1087,1787,874,1.32,802,1.37,918,1.02,919,1.26,939,1070,1005,1434,916,993,16726,20571.95,1.55,1.45
7J,2207,2979,2325,3239,2827,3873,2934,4164,3059,4096,3286,4376,3037,5266,3197,5184,2.56,3.98,2.39,3.78,2.25,3.23,2.41,3.95,2573,3241,2490,3941,2227,3210,30171.6,43583.94,3.28,3.08
7P,0,0,0,0,1095,1032,1159,934,1136,806,1292,797,1321,1032,1249,1080,1.21,723,1.12,810,1.09,598,1.32,904,1353,754,1292,1045,1181,682,11082.73,11197,0.84,0.79
7R,2444,4133,2457,4007,2183,3946,2400,4056,2395,3789,2393,3471,2117,3443,1882,3223,1.92,2.25,2.03,3,1.89,2.43,2.09,3.23,2203,2648,2355,3361,2086,2777,24922.93,38864.91,2.92,2.75
7S,2216,2717,2053,2574,1681,1797,1940,1613,1992,1913,2017,1874,2047,1876,1634,1756,1.76,1.53,1.95,1.74,2.07,1.82,2.11,2.08,2409,1845,2447,2985,2129,2138,22572.89,23095.17,1.74,1.63
8A,1094,1767,1045,1777,1002,1790,1088,1973,1069,1935,1183,1889,1189,2068,1111,1897,1.09,1.88,1.24,1.85,1.34,1.99,1.51,2.3,1641,2273,1659,2731,1485,2438,13571.18,22546.02,1.7,1.59
