OID_,NAME,ABBREV,GNIS_ID,FIPS_CODE,SWIS,NYSP_ZONE,POP1990,POP2000,POP2010,POP2020,DOS_LL,DOSLL_DATE,NYC,CALC_SQ_MI,DATEMOD,SHAPE_Length,SHAPE_Area,PerProt,BearTake
1,Albany,ALBA,974099,36001,010000,East,292594,294565,304204,314848,,,N,532.791778816944998,11/10/2017 0:00:00,166077.790536143176723,1379923860.145974397659302,5.395201206000000,116.000000000000000
2,Allegany,ALLE,974100,36003,020000,West,50470,49927,48946,46456,,,N,1035.209130889139942,4/26/2019 0:00:00,210499.300600568094524,2681178339.789457798004150,8.224021603000001,700.000000000000000
3,Bronx,BRON,974101,36005,600000,Long Island,1203789,1332650,1385108,1472654,,,Y,57.472147948349701,10/4/2019 0:00:00,57253.849491468339693,148852121.313057720661163,16.270321110000001,0.000000000000000
4,Broome,BROO,974102,36007,030000,Central,212160,200536,200600,198683,,,N,715.287465303902991,4/26/2019 0:00:00,227933.288899910519831,1852585332.030275821685791,2.386401667000000,387.000000000000000
5,Cattaraugus,CATT,974103,36009,040000,West,84234,83955,80317,77042,,,N,1324.309218554989911,4/26/2019 0:00:00,276084.452932741027325,3429943853.008345603942871,11.835157949999999,603.000000000000000
6,Cayuga,CAYU,974104,36011,050000,Central,82313,81963,80026,76248,,,N,881.823504827577040,7/18/2018 0:00:00,334039.734974422375672,2283911553.634736537933350,2.876645752000000,0.000000000000000
7,Chautauqua,CHAU,974105,36013,060000,West,141895,139750,134905,127657,,,N,1507.794552682360063,4/26/2019 0:00:00,247508.426414007000858,3905168516.150366783142090,2.404504797000000,503.000000000000000
8,Chemung,CHEM,974106,36015,070000,Central,95195,91070,88830,84148,,,N,410.959316289081983,4/26/2019 0:00:00,146916.752969701541588,1064379342.799239039421082,0.965820478000000,201.000000000000000
9,Chenango,CHEN,974107,36017,080000,Central,51768,51401,50477,47220,,,N,897.818643850790977,10/3/2018 0:00:00,226955.113349388790084,2325338742.622133731842041,14.013434589999999,82.000000000000000
10,Clinton,CLIN,974108,36019,090000,East,85969,79894,82128,79843,,,N,1116.813728584669889,12/7/2018 0:00:00,235243.310183662746567,2892533254.820374965667725,11.233418500000001,482.000000000000000
11,Columbia,COLU,974109,36021,100000,East,62982,63094,63096,61570,,,N,647.907498381924029,1/22/2018 0:00:00,184324.616032622492639,1678072081.328274488449097,5.003366963000000,162.000000000000000
12,Cortland,CORT,974110,36023,110000,Central,48963,48599,49336,46809,,,N,501.139392841910023,3/9/2018 0:00:00,145854.742860753060086,1297944585.695714950561523,10.011248589999999,4.000000000000000
13,Delaware,DELA,974111,36025,120000,East,47225,48055,47980,44308,,,N,1466.340612777449905,5/19/2020 0:00:00,283395.231669182307087,3797803318.417726516723633,7.573858550000000,1639.000000000000000
14,Dutchess,DUTC,974112,36027,130000,East,259462,280150,297488,295911,,,N,824.439345617009963,11/8/2018 0:00:00,220942.514316267101094,2135287283.630522727966309,4.139484566000000,156.000000000000000
15,Erie,ERIE,974113,36029,140000,West,968532,950265,919040,954236,,,N,1221.970018071380082,10/30/2017 0:00:00,327906.686123650462832,3164886653.486209869384766,0.851849043000000,12.000000000000000
16,Essex,ESSE,974114,36031,150000,East,37152,38851,39370,37381,,,N,1915.019961470060025,7/24/2018 0:00:00,331906.546022307709791,4959877144.643581390380859,49.544747049999998,505.000000000000000
17,Franklin,FRAN,974115,36033,160000,East,46540,51134,51599,47555,,,N,1696.382337311340052,10/4/2018 0:00:00,314349.821083897317294,4393608525.645026206970215,26.870841970000001,480.000000000000000
18,Fulton,FULT,974116,36035,170000,East,54191,55073,55531,53324,,,N,532.621844131795001,11/1/2018 0:00:00,176010.495101075066486,1379483734.509388208389282,25.554371540000002,343.000000000000000
19,Genesee,GENE,974117,36037,180000,West,60060,60370,60079,58388,,,N,496.057047849285027,2/12/2018 0:00:00,155397.054114686819958,1284781386.100523233413696,2.317128224000000,3.000000000000000
20,Greene,GREE,974118,36039,190000,East,44739,48195,49221,47931,,,N,657.720078973129944,5/19/2020 0:00:00,188783.269334284967044,1703486539.844896554946899,20.537957590000001,906.000000000000000
21,Hamilton,HAMI,974119,36041,200000,East,5279,5379,4836,5107,,,N,1806.212129984550074,11/1/2018 0:00:00,327370.558183762186673,4678066240.137310981750488,69.312920309999996,607.000000000000000
22,Herkimer,HERK,974120,36043,210000,East,65797,64427,64519,60139,,,N,1456.420113108009900,2/1/2018 0:00:00,390792.464556760678533,3772109396.603570938110352,39.122666090000003,627.000000000000000
23,Jefferson,JEFF,974121,36045,220000,Central,110943,111738,116229,116721,,,N,1753.082976581820049,11/6/2018 0:00:00,307750.510955273581203,4540462439.231042861938477,4.337436433000000,337.000000000000000
24,Kings,KING,974122,36047,610000,Long Island,2300664,2465326,2504700,2736074,,,Y,97.145605738458201,10/4/2019 0:00:00,72427.903681211275398,251605864.982401520013809,20.197925359999999,0.000000000000000
25,Lewis,LEWI,974123,36049,230000,Central,26796,26944,27087,26582,,,N,1289.733734880750035,11/6/2018 0:00:00,255841.580810746789211,3340393830.892749309539795,20.812776910000000,913.000000000000000
26,Livingston,LIVI,974124,36051,240000,West,62372,64328,65393,61834,,,N,640.501554901376949,9/20/2018 0:00:00,237375.849994273448829,1658890799.378670215606689,5.770123396000000,64.000000000000000
27,Madison,MADI,974125,36053,250000,Central,69120,69441,73442,68016,,,N,660.767519594528949,7/18/2018 0:00:00,256920.336672364413971,1711379386.924227952957153,6.947025208000000,10.000000000000000
28,Monroe,MONR,974126,36055,260000,West,713968,735343,744344,759443,,,N,1382.594466790930028,12/22/2017 0:00:00,268311.041338924900629,3580901929.137048244476318,0.605992907000000,0.000000000000000
